U, I, P, gain, correlation, integrator
1.976, 0.1676, 0.6826, 0.2488, 0.09332, 0.1619
4.055, 0.1225, 0.7073, 0.3449, -0.6204, 0.4696
10.445, 1.030, 7.931, 0.9803, -2.254, 0.6792
11.369, 0.9596, 11.568, 0.8251, 0.1440, 0.7281
11.703, 0.9628, 11.543, 0.8277, -0.07698, 0.6970
11.369, 0.9319, 10.577, 0.8063, -0.1188, 0.6875
11.318, 1.053, 11.371, 0.8213, -0.9560, 0.6686
10.317, 1.024, 11.107, 0.7942, -0.2995, 0.6863
10.959, 0.9274, 10.088, 0.7824, 2.573, 0.8435
10.702, 1.027, 10.965, 0.8470, 0.2744, 0.6722
10.882, 1.040, 10.479, 0.7821, 0.6531, 0.7045
11.215, 1.007, 11.709, 0.8505, 1.015, 0.7745
11.369, 0.9628, 8.105, 0.8096, -0.1464, 0.6754
10.856, 0.9660, 10.192, 0.8755, -0.8849, 0.6749
10.856, 0.9821, 11.485, 0.8432, -1.237, 0.7207
9.598, 0.9113, 9.977, 0.8691, -0.5221, 0.7017
11.061, 1.007, 10.916, 0.9389, -1.602, 0.7416
9.573, 0.9692, 10.588, 0.8703, -0.2093, 0.6910
10.728, 0.9886, 10.422, 0.9210, -1.018, 0.6985
10.907, 0.9918, 10.045, 0.8420, -1.025, 0.6380
10.266, 0.9982, 11.194, 0.8402, 1.664, 0.8351
10.651, 0.8888, 10.546, 0.8204, 1.127, 0.7760
11.241, 1.017, 7.690, 0.8010, 0.001403, 0.6552
10.343, 0.9757, 11.273, 0.9208, -1.173, 0.6972
11.164, 1.004, 9.694, 0.7963, 0.6387, 0.7346
11.215, 0.9982, 9.971, 0.7946, 0.1018, 0.6758
10.522, 0.9532, 10.265, 0.8710, -1.042, 0.7356
9.624, 0.9306, 10.504, 0.8035, 2.140, 0.8652
10.984, 0.9821, 10.658, 0.8129, 0.5289, 0.7065
10.907, 0.9853, 10.069, 0.8476, 1.041, 0.7084
10.779, 0.9725, 11.304, 0.9025, -1.349, 0.6207
9.932, 0.9789, 11.276, 0.9022, -1.375, 0.6276
10.214, 0.9950, 11.093, 0.8428, -0.1040, 0.7017
11.036, 0.9950, 8.982, 0.7703, 0.3641, 0.6980
11.036, 0.9210, 10.211, 0.9333, -0.03889, 0.7163
10.548, 1.011, 9.103, 0.8118, -1.929, 0.6254
10.112, 0.9725, 10.882, 0.8102, 0.7623, 0.6686
10.317, 0.8855, 10.749, 0.9053, -0.7058, 0.6664
10.702, 0.8727, 10.080, 0.8739, 0.1140, 0.7469
10.445, 0.9918, 10.394, 0.7543, 0.6441, 0.7113
11.421, 0.8855, 11.256, 0.8581, -1.152, 0.6355
10.214, 1.001, 10.640, 0.8050, 1.119, 0.6585
10.420, 0.9274, 11.449, 0.8425, -0.8373, 0.6580
10.779, 0.8501, 10.506, 0.7639, 0.5276, 0.6628
10.625, 0.9757, 10.776, 0.8109, -0.2972, 0.7227
10.805, 1.017, 11.020, 0.875, -1.588, 0.6818
11.215, 0.9049, 10.208, 0.7291, 0.4021, 0.6800
11.215, 0.8630, 10.251, 0.8475, 0.7262, 0.7008
10.933, 0.9821, <\0>U, I, P, gain, correlation, integrator
1.847, 0.07102, 0.5076, 0.2307, -0.01460, 0.1344
3.516, 0.1289, 0.4667, 0.2497, 0.05590, 0.1541
3.952, 0.1128, 0.5325, 0.3073, 0.7785, 0.4246
9.111, 0.8888, 4.403, 1.802, 2.355, 2.127
9.470, 0.08995, 0.2831, 2.152, 1.644, 2.138
11.908, 0.07624, 0.5409, 2.353, -1.417, 2.042
2.463, 0.09809, 0.3867, 2.420, 0.5054, 2.423
4.465, 0.07257, 0.4568, 2.441, -1.798, 2.085
6.955, 0.1074, 1.086, 1.524, 2.590, 2.179
11.241, 0.07910, 0.7640, 2.368, -0.5806, 2.440
9.239, 0.06530, 0.3835, 2.644, -0.9320, 2.443
5.749, 0.07798, 0.1871, 2.623, -1.397, 2.289
2.130, 0.07879, 0.4155, 2.403, -1.345, 2.184
2.823, 0.07258, 0.1625, 2.460, 1.094, 2.592
4.465, -0.02500, 4.204, 2.830, 1.030, 2.818
3.028, 0.06881, 0.2375, 2.521, 0.1954, 2.499
2.309, 0.09632, 0.4115, 2.308, 2.030, 2.433
8.700, 0.07412, 1.484, 2.579, -0.8687, 2.327
6.313, 0.07684, 0.4996, 2.564, 0.6707, 2.382
4.055, 0.07460, 0.5956, 2.945, -1.424, 2.690
4.260, -0.009033, 0.3178, 2.809, 1.731, 2.754
9.393, 2.271, 0.4311, 2.821, 0.5534, 2.921
6.287, 0.06240, 0.2236, 3.092, -0.7178, 2.876
4.696, 0.05741, 0.3925, 2.800, -0.9940, 2.638
12.704, 0.07058, 0.1579, 2.719, -0.2535, 2.565
3.054, 0.06643, 0.2197, 2.868, -1.017, 2.574
8.700, 0.06604, 0.2264, 2.912, 1.410, 3.055
1.976, 0.06416, 0.1216, 3.412, -0.1679, 3.328
4.748, 0.05279, 0.4445, 3.454, 0.1251, 3.406
13.345, 0.05584, 0.5730, 3.415, 0.5721, 3.229
4.568, 0.05165, 0.1152, 3.663, 0.1439, 3.487
2.232, 0.04077, 0.6218, 3.702, -0.5097, 3.552
8.828, 0.05589, 0.1145, 3.441, -1.156, 3.192
12.806, 0.05477, -2.951, 3.205, 0.1710, 3.026
2.463, 0.06275, 0.2902, 3.264, -0.3623, 3.157
6.724, 0.05383, 0.1037, 3.747, -0.3990, 3.636
5.441, 0.04406, 3.982, 3.795, 1.553, 3.763
5.697, 0.04730, 2.020, 3.581, 0.4604, 3.495
2.977, 0.05139, 0.6159, 3.471, -1.263, 3.202
2.489, -0.3972, 0.3309, 3.490, -0.6877, 3.309
2.463, 0.05368, 0.3251, 3.402, 0.1575, 3.266
12.524, 0.02555, 0.1036, 3.350, -0.1707, 3.282
3.798, -0.2319, 0.3251, 3.622, 0.1739, 3.554
2.386, 0.05004, 0.1321, 3.732, -0.6337, 3.461
2.592, 0.05346, 0.4732, 3.479, -0.6880, 3.310
14.090, 0.05151, 0.1338, 3.416, -0.2415, 3.244
1.565, 2.074, 0.1931, 2.995, 0.3415, 2.860
6.775, 0.07192, -9.823, 3.179, 0.6658, 3.196
3.849, 1.120, 0.1271, 3.278, 0.1618, 3.237
13.961, 0.05737, 0.3796, 3.125, 0.5193, 3.183
6.698, 0.06661, 0.1590, 3.293, -0.4083, 3.068
5.543, 0.06213, 0.4624, 3.150, 1.134, 3.129
9.496, 0.05224, 0.3782, 3.150, 0.3305, 3.111
11.267, 0.05859, 0.1640, 3.021, 0.5834, 2.964
9.470, 2.076, 0.9151, 2.844, -1.380, 2.546
1.796, 0.06730, 0.3811, 2.590, <\0>U, I, P, gain, correlation, integrator
1.924, 0.1547, 0.4621, 0.2295, 0.1118, 0.1445
3.593, 0.1483, 0.6324, 0.2483, 0.009155, 0.1481
3.772, 0.1225, 0.4686, 0.2639, 0.05612, 0.1619
4.209, 0.1322, 0.8311, 0.4541, -0.008316, 0.5614
9.265, 0.9113, 11.835, 0.8265, 0.5313, 0.7347
11.677, 1.004, 11.478, 0.8333, 0.4678, 0.7393
11.498, 0.9886, 11.463, 0.8571, 0.3809, 0.7763
11.498, 1.011, 11.408, 0.8434, -0.6452, 0.6619
10.805, 0.9274, 11.390, 0.8626, -0.4143, 0.7061
11.267, 0.9499, 10.657, 0.9252, -2.249, 0.7476
9.111, 0.8791, 11.145, 0.8324, -0.4689, 0.6932
10.984, 0.9853, 10.448, 0.9421, -1.867, 0.7139
10.471, 1.014, 10.069, 0.7951, -0.7035, 0.6908
9.881, 1.001, 10.495, 0.9302, -1.532, 0.7137
10.497, 1.004, 10.325, 0.8272, -0.6871, 0.6374
10.317, 0.9725, 10.564, 0.8266, -1.163, 0.7065
10.137, 1.014, 10.183, 0.8168, -0.9531, 0.7053
9.804, 0.9918, 10.321, 0.7958, 1.832, 0.8220
10.574, 1.007, 10.156, 0.8075, -0.1649, 0.6721
10.420, 0.9853, 9.962, 0.8563, 0.9628, 0.7650
11.292, 0.9145, 10.217, 0.8472, -1.075, 0.6323
10.086, 0.9918, 11.026, 0.8987, -1.140, 0.6789
10.574, 0.9982, 9.894, 0.8105, 1.520, 0.8064
10.676, 0.8920, 10.251, 0.8614, -1.055, 0.6322
9.983, 0.9660, 10.008, 0.7935, 0.8375, 0.7457
11.241, 1.001, 10.230, 0.8101, -1.575, 0.7308
9.188, 0.9918, 9.765, 0.8403, -0.8973, 0.7209
10.035, 0.9016, 9.982, 0.7947, 1.119, 0.7742
11.036, 0.9853, 9.251, 0.7714, 0.1698, 0.6987
10.830, 0.9789, 10.234, 0.8847, -1.477, 0.6305
9.906, 0.9692, 10.889, 0.8700, -0.8698, 0.7151
10.163, 0.9725, 10.318, 0.8393, -1.420, 0.6925
10.189, 0.9853, 10.149, 0.8097, -1.770, 0.7222
9.444, 0.9789, 10.276, 0.7813, 0.9172, 0.7493
11.318, 0.9564, 9.541, 0.7777, 0.2128, 0.6815
10.574, 0.9177, 10.410, 0.8418, 1.027, 0.6693
10.086, 0.9757, 10.589, 0.7996, -0.7547, 0.7174
10.368, 0.9564, 9.321, 0.8813, -1.624, 0.6761
11.010, 0.9789, 10.317, 0.8056, -0.9323, 0.6906
10.548, 0.8952, 10.181, 0.8255, -1.306, 0.6351
10.009, 0.9306, 11.153, 0.8504, -0.9240, 0.6662
10.830, <\0>U, I, P, gain, correlation, integrator
1.976, 0.1740, 0.5271, 0.2332, 0.05206, 0.1396
3.593, 0.1225, 0.5679, 0.2510, -0.007843, 0.1437
3.670, 0.1225, 0.3362, 0.2566, -0.03492, 0.1428
3.721, 0.1257, 0.4081, 0.2558, -0.006500, 0.1396
3.721, 0.1257, 0.5039, 0.2599, -0.005126, 0.1424
3.824, 0.1128, 0.5534, 0.2683, 0.02388, 0.1625
4.311, 0.1354, 0.7223, 0.4357, -0.9732, 0.5532
8.033, 0.7085, 3.545, 0.6888, 7.210, 0.6902
10.959, 0.8952, 11.616, 0.8670, -0.06620, 0.7288
11.421, 1.001, 11.527, 0.8797, -1.001, 0.7142
10.522, 0.8920, 10.470, 0.8036, -0.2919, 0.6617
10.830, 0.9886, 10.804, 0.8102, 0.05387, 0.6658
10.625, 0.9757, 11.449, 0.8375, 1.559, 0.8214
10.779, 0.9918, 10.385, 0.8233, -1.170, 0.6697
10.497, 1.004, 8.523, 0.8084, 0.4156, 0.6668
10.497, 0.9596, 10.529, 0.8366, -0.8330, 0.6773
10.214, 0.8952, 10.250, 0.8036, -1.328, 0.7130
9.213, 0.9853, 10.477, 0.8442, -0.1729, 0.6826
10.599, 0.9886, 9.592, 0.9144, -1.197, 0.7411
9.727, 1.011, 9.305, 0.8450, 0.4874, 0.7165
10.830, 0.9918, 11.275, 0.8691, 0.7724, 0.7476
11.087, 0.9886, 10.683, 0.8690, 0.4667, 0.7131
10.805, 0.9725, 10.767, 0.8295, 1.964, 0.8570
10.702, 0.9950, 10.377, 0.8143, 1.162, 0.7825
11.087, 0.8694, 9.285, 0.8181, 0.1116, 0.6507
9.855, 0.9546, 10.834, 0.8579, -1.403, 0.7414
9.213, 0.8791, 10.439, 0.8810, -0.3008, 0.7341
10.189, 0.9982, 9.313, 0.8565, -1.555, 0.6413
10.163, 0.9371, 10.342, 0.8855, -1.087, 0.6356
10.009, 0.8823, 10.470, 0.8240, 1.342, 0.7754
11.138, 0.9371, 9.634, 0.7611, 1.511, 0.8378
10.420, 0.9016, 9.605, 0.8246, 1.092, 0.7268
11.113, 0.9757, 10.567, 0.8074, 1.383, 0.7680
11.369, 0.9950, 9.769, 0.7731, 0.8701, 0.7627
10.779, 0.9821, 10.232, 0.8942, -1.413, 0.6773
10.779, 0.9789, 10.555, 0.7969, 0.5488, 0.6789
10.548, 0.9403, 11.032, 0.8559, -0.7525, 0.6653
10.574, 0.9853, 9.684, 0.8520, -1.502, 0.6378
10.137, 0.9660, 10.715, 0.8755, -0.9848, 0.6278
9.958, 0.9596, 10.450, 0.8755, -0.9788, 0.6217
9.829, 0.8984, 10.093, 0.7917, 0.3086, 0.6605
10.394, 0.9596, 10.513, 0.7902, 1.764, 0.7310
11.087, 0.9757, 10.504, 0.7701, -0.9253, 0.7098
10.548, 0.9757, 10.700, 0.8217, -1.513, 0.6337
10.163, 0.9660, 10.462, 0.8350, -0.8481, 0.6697
<\0>